LabID,CRA,Error,Site_Code,Site_Name,SiteContext,Longitude,Latitude,Source,Comments
PLD-32545,7420,25,HMG,Hormangan,Trench 1,53.51537389,30.50747583,Khanipour,
PLD-32546,7210,25,HMG,Hormangan,Trench 1,53.51537389,30.50747583,Khanipour,
PLD-32547,7255,25,HMG,Hormangan,Trench 2,53.51537389,30.50747583,Khanipour,
PLD-32548,7245,25,HMG,Hormangan,Trench 2,53.51537389,30.50747583,Khanipour,
PLD-32549,7209,25,HMG,Hormangan,Trench 3 - 3008,53.51537389,30.50747583,Khanipour,
PLD-32550,7202,25,HMG,Hormangan,Trench 3-3006,53.51537389,30.50747583,Khanipour,
PLD-32551,6965,25,HMG,Hormangan,Trench 1,53.51537389,30.50747583,Khanipour,
AA-56410,7173,71,TJB,Tal-i Jari B,"Area WT, Level 6, Room 5a; Level 8; WT, Layer 6, R5a; level 8; Area WT, Layer 6, Room 5a",52.942056,29.840099,Marshall 2012; CalPal; Flohr et al. 2016,
AA-56411,7297,45,TJB,Tal-i Jari B,Level nd; ca. 50 cm above virgin soil,52.942056,29.840099,CalPal; Nishiaki 2010; Flohr et al. 2016,
AA-56413,6867,50,TJB,Tal-i Jari B,"Area A III, Level 1-2; Level 1; AIII, Layer 1-2; level 1; Area A III, Layer 1-2",52.942056,29.840099,Marshall 2012; CalPal; Flohr et al. 2016,
AA-56415,7127,69,TJB,Tal-i Jari B,"Area WT, Level 2, Room 1; Level 4;WT, Layer 2, R1-Fill; level 4; Area WT, Layer 2, Room 1, fill",52.942056,29.840099,Marshall 2012; CalPal; Flohr et al. 2016,
AA-65264,7297,45,TJB,Tal-i Jari B,50 cm above virgin soil,52.942056,29.840099,Marshall 2012; CalPal; Flohr et al. 2016,
Beta-207565,7140,40,TJB,Tal-i Jari B,165 cm depth; Level nd; ~1.64 m below surface; 165 cm depth,52.942056,29.840099,Marshall 2012; CalPal; Flohr et al. 2016,
AA-56409,7347,71,TMS,Tal-i Mushki,Level 3a; Level 2; MS-K11-3a; Level 3a; MS-K11-3a,52.938554,29.854505,Nishiaki 2010; Marshall 2012; CalPal; Flohr et al. 2016,
AA-63493,7707,76,TMS,Tal-i Mushki,Level 22 (basal); Level 22 (basal); above virgin soil,52.938554,29.854505,Nishiaki 2010; Marshall 2012; CalPal; Flohr et al. 2016,
Beta-207563,7220,40,TMS,Tal-i Mushki,Level 17; burnt surface,52.938554,29.854505,Nishiaki 2010; Marshall 2012; CalPal; Flohr et al. 2016,
Beta-210984,7250,40,TMS,Tal-i Mushki,Level 12; occupational debris,52.938554,29.854505,Nishiaki 2010; Marshall 2012; CalPal; Flohr et al. 2016,
TK-571,7270,80,TMS,Tal-i Mushki,Level 3; MS-L12-3a; level 3; MS-L12-3a,52.938554,29.854505,Nishiaki 2010; CalPal; Flohr et al. 2016,
TKa-13814,7410,35,TMS,Tal-i Mushki,Level 3; MS-K12-3; level 3; MS-K11-3,52.938554,29.854505,Nishiaki 2010; CalPal; Flohr et al. 2016,
